dx1,dy1,dz1,dx2,dy2,dz2,azm1_cf,ele1_cf,azm2_cf,ele2_cf,azm1_an,ele1_an,azm2_an,ele2_an,tdoa_bias,time
-1.1147655335360753,-2.339993776177183,-0.13350210678866736,-1.4464061523101786,3.2355540515622487,-2.1356039200262695,61.57235631611749,5.452597272147427,-71.27317492778866,31.39930493724359,-111.42610427992649,72.82328961558672,172.78928366624578,54.37708798342691,-0.1794381299327048,3.02767276763916
-1.1146574801986873,-2.339900390294485,-0.13335844028606578,-1.4462980989727905,3.235647437444947,-2.135460253523668,61.59774193066437,5.483321813638906,-71.28363698723258,31.39936144363134,-111.41502015671577,72.82335820445836,172.78546314748303,54.378708658578276,-0.15118847110230904,3.04978346824646
-1.1146414388688506,-2.339925462525011,-0.13329857631564065,-1.4462820576429538,3.2356223652144207,-2.1354003895532427,61.66405292139646,4.950623856173412,-71.14138407147726,31.99555137721354,-111.41011376995093,72.82339170609579,172.78520404027535,54.37918889063614,-0.06680554350936507,3.071214437484741
-1.1146006418880898,-2.3398838652319447,-0.1334155034337797,-1.446241260662193,3.2356639625074872,-2.1355173166713817,61.543503292214844,4.688305725189082,-71.06048572824649,32.05907721705625,-111.41770921775094,72.82193725419027,172.784321690019,54.37783859607863,-0.08544491168675261,3.0909712314605713
-1.1147479518235142,-2.339935263365626,-0.13346034317491412,-1.4463885705976174,3.235612564373806,-2.1355621564125165,61.55218622026732,5.218100417847712,-71.16500575022671,31.522896620488737,-111.42374963421575,72.82382327656332,172.78809256224358,54.37779956976309,-0.03860471040266278,3.110529899597168
-1.1145819671492594,-2.3399228089803668,-0.13332915925256078,-1.4462225859233626,3.235625018759065,-2.135430972490163,61.47382377022214,5.137525187519769,-71.2839563848587,31.67568393534996,-111.41070337422533,72.82204480330708,172.78407129476028,54.37853929858355,-0.07616554878715265,3.1432173252105713
-1.114585422355315,-2.339965818880821,-0.1333674992449425,-1.4462260411294183,3.235582008858611,-2.135469312482545,61.529102642320424,5.042231508981373,-71.28208508961129,31.88132752215791,-111.41271070619905,72.82140991564111,172.78478171523224,54.377878231559706,-0.10906281693441011,3.172028064727783
-1.1147120205982706,-2.3399251748705976,-0.13363118188272194,-1.4463526393723738,3.2356226528688343,-2.135732995120324,61.632772638293915,4.875938409389263,-71.09581821820078,32.00117633417376,-111.43463593832773,72.82171471534714,172.78787373343806,54.37567596426999,-0.015046631690544654,3.1939761638641357
-1.1148215597803655,-2.340016003464465,-0.13344980616430463,-1.4464621785544687,3.235531824274967,-2.1355516194019066,61.67521884044152,5.241693101886417,-71.12003416363736,31.60742958045976,-111.42362704767407,72.82460585317648,172.79049226050608,54.37786752468381,-0.15135377490935342,3.2338645458221436
-1.1147682325557429,-2.3399670071226875,-0.1335743931777632,-1.446408851329846,3.2355808206167445,-2.1356762064153654,61.57258401538513,4.879705870702954,-71.05967484542917,31.857260808314376,-111.43153967706137,72.82291286000739,172.7892963618665,54.37640314319749,0.017694338543003507,3.2652344703674316
