x,y,z,vicon_gt,uwb_tdoa_meas,time
-1.4866387155960077,-1.0114837139525905,0.024177635500495145,-2.4134591813159103,-2.6086208820343018,6.039024353027344
-1.486643836468171,-1.0115210897358238,0.024190455812005088,-2.413478134687652,-2.5851619243621826,6.079478025436401
-1.486664162796434,-1.0114934384842524,0.02414483273581465,-2.4134774677482147,-2.603929042816162,6.118757724761963
-1.4866782420531226,-1.0115635377421526,0.024195156380394087,-2.4135277225791385,-2.693072557449341,6.1433610916137695
-1.4866197883405923,-1.0115489161292244,0.024238370037700085,-2.4134755617393435,-2.5757784843444824,6.179369926452637
-1.4866666185943984,-1.0115281979885125,0.02412705893168224,-2.4134815254765383,-2.594545364379883,6.207509517669678
-1.4866459208274148,-1.011588934819245,0.02415310341682866,-2.413482062814614,-2.5757784843444824,6.219709634780884
-1.486669888262919,-1.0115829115537136,0.02422693184639686,-2.4135346516703162,-2.6133124828338623,6.243939399719238
-1.4866441332832367,-1.0115268792783783,0.024225345085808085,-2.4134927185427837,-2.7352983951568604,6.282679319381714
-1.4866488902054422,-1.011553449964383,0.024167165728750144,-2.413482482653084,-2.5147855281829834,6.306485652923584
-1.486617290280466,-1.0115738804739272,0.024188316012675112,-2.413459923325584,-2.6086208820343018,6.3194074630737305
-1.4866482878059541,-1.011645876491141,0.024174493671280543,-2.413505597696823,-2.6367714405059814,6.344954490661621
-1.486632779503187,-1.0116116792869145,0.02415686023808527,-2.413474060511581,-2.6226961612701416,6.357690334320068
-1.4866580680564299,-1.0116147195898828,0.024175347300619755,-2.4135096630821242,-2.688380718231201,6.385038137435913
-1.4866403801169326,-1.011539531482779,0.02418970621928603,-2.4134782257795804,-2.688380718231201,6.399977922439575
-1.4866584166957397,-1.0114994716767343,0.024146156232749558,-2.4134729588946593,-2.6508467197418213,6.425520181655884
-1.4866552718774462,-1.0115686644373545,0.02419751651163475,-2.413504282873222,-2.7352983951568604,6.4379754066467285
-1.4866591185009406,-1.0114722463968833,0.024137363520074347,-2.4134642721431905,-2.7493736743927,6.465998649597168
-1.4866063919551387,-1.0115656717294486,0.02419650853810908,-2.413448998793085,-2.5288608074188232,6.47857928276062
-1.4866269264927126,-1.0115890539858428,0.024155015558817557,-2.413461726351344,-2.6696135997772217,6.5027782917022705
