x,y,z,vicon_gt,uwb_tdoa_meas,time
-1.9434537476533857,0.003551701033228182,0.026676471693291064,-2.1939615521899527,-2.298964262008667,7.95040225982666
-1.9434154152601764,0.003597239419932281,0.02670158716261417,-2.1938902591570733,-2.1816701889038086,7.96160888671875
-1.943457633308649,0.003427334604805653,0.026669168242879578,-2.19407936583903,-2.2098207473754883,7.977593421936035
-1.9435344789330842,0.003419027065655552,0.02668843737301446,-2.1941702043118787,-2.2661221027374268,8.00649905204773
-1.9435288132587425,0.0034760073239821173,0.026710507270522224,-2.1941193194677666,-2.1816701889038086,8.023404836654663
-1.9435392530821962,0.003483770308645703,0.0266998798416437,-2.194118414838162,-2.2708137035369873,8.100013256072998
-1.943515490970491,0.003492797237474534,0.026697861796881654,-2.194085725874397,-2.214512586593628,8.124708652496338
-1.9435590335878297,0.0033927653206075313,0.026714341991279866,-2.194228688673867,-2.2192044258117676,8.136759042739868
-1.9435384673174698,0.0034369495314887813,0.026684146156369302,-2.194155740818102,-2.237971305847168,8.164276838302612
-1.943529001645241,0.003493228882568787,0.026662424110994988,-2.1940855483619206,-2.2567384243011475,8.176267862319946
-1.9434152859289642,0.0035268209004134174,0.026645953449169427,-2.1939356023063876,-2.2332797050476074,8.205583810806274
-1.943481313446247,0.003566939480404846,0.026669589233418986,-2.1939719387770613,-2.3552656173706055,8.217296361923218
-1.9435411989945122,0.0033858280049825153,0.026666875839146537,-2.194200007409682,-2.2285878658294678,8.242412328720093
-1.943492677102104,0.0035373130135444956,0.026699890978307786,-2.1940221765357486,-2.2285878658294678,8.26651382446289
-1.943481835585595,0.0034517191635454435,0.026707917889818956,-2.1940947416114644,-2.0972185134887695,8.278878688812256
-1.9434775546944476,0.0034924231576722487,0.026681949131150698,-2.1940427111747347,-2.139444351196289,8.30338168144226
-1.9435067048104364,0.0034576599400338737,0.026692270274890923,-2.194107942093485,-2.284888982772827,8.32973051071167
-1.9435579760134192,0.0034286349686242965,0.026689170514227978,-2.1941846726367467,-2.237971305847168,8.344284772872925
-1.9434533914825591,0.003567939370232688,0.02669150550743943,-2.193951531055549,-2.359957218170166,8.356444120407104
-1.9436399002444853,0.0034098739737106463,0.02668959349355906,-2.1942833561282136,-2.359957218170166,8.383388996124268
-1.943543759489842,0.003456468485048483,0.026682385677760937,-2.1941420043519564,-2.2192044258117676,8.419189691543579
-1.943577391599461,0.0034040597490524183,0.02670889706375985,-2.194234210898109,-2.289580821990967,8.444462060928345
-1.9434842650849546,0.0034884233529140643,0.026680426914000587,-2.1940525290329087,-2.2332797050476074,8.459192991256714
-1.943483747395046,0.003426083300521841,0.026695700393972958,-2.194116158669819,-2.2332797050476074,8.486509323120117
-1.9434731916054935,0.003497441050122567,0.026712302194874516,-2.1940449298292237,-2.2332797050476074,8.498381853103638
-1.9435017078157357,0.003447898972735881,0.02667507007129795,-2.1941057960329737,-2.162903308868408,8.526012420654297
-1.9434737188100604,0.0035363049774741933,0.026703576028478632,-2.194005758594876,-2.162903308868408,8.537885904312134
-1.9435121023800905,0.003442558754571132,0.026665177525106054,-2.19411741204402,-2.0972185134887695,8.56510615348816
-1.9434693449673737,0.0035090582441977885,0.026689772397303496,-2.1940218905169178,-2.2332797050476074,8.604331731796265
-1.9434602879395253,0.0034372257364574106,0.026647470888933187,-2.194064676098392,-2.275505542755127,8.616147518157959
-1.9434779959117976,0.003509071779680252,0.026690263430649234,-2.1940306053838383,-2.2192044258117676,8.641408205032349
-1.943486801170477,0.0034188922158438885,0.02671853958155218,-2.1941343770630652,-2.2192044258117676,8.669306993484497
-1.9435537662483755,0.0035337275550757375,0.026706629668182488,-2.1940883807740073,-2.313039541244507,8.681883335113525
-1.943455326755849,0.003501489919045242,0.02666755806171776,-2.194006919643897,-2.2801973819732666,8.709973096847534
-1.943457728234009,0.0035391723914972068,0.02665617699123863,-2.1939697257707063,-2.284888982772827,8.722667455673218
-1.9435074053323997,0.0035632013858261334,0.026677295962428457,-2.1940040732754564,-2.284888982772827,8.735514163970947
-1.9434588317794967,0.0034703901574569406,0.02666535816351099,-2.1940387450402157,-2.1347525119781494,8.761621236801147
-1.9434924554908404,0.003519398959317413,0.026675128458423587,-2.1940295975419994,-2.1722867488861084,8.78597903251648
-1.9434443056937543,0.003524217873675713,0.026704817777016346,-2.1939885025058783,-2.1722867488861084,8.798430919647217
-1.943490741921517,0.0034243484786248423,0.02669808394848373,-2.1941255781371156,-2.1722867488861084,8.82387113571167
-1.9435505936806756,0.003462008169724027,0.026701727465201587,-2.1941507183719398,-2.1722867488861084,8.837471008300781
-1.9435398113196778,0.0033715928589483266,0.02666732684800725,-2.194212158901255,-2.1722867488861084,8.865482568740845
-1.9435868940141021,0.003380391190212191,0.026634548266017626,-2.194238278418155,-2.1206772327423096,8.87740159034729
-1.9434107384612682,0.003621367395794432,0.026712352365903903,-2.193866987634807,-2.0596842765808105,8.899821043014526
-1.943446400868774,0.0034852926015252307,0.026686337691705534,-2.1940202503600776,-2.176978588104248,8.938934326171875
-1.9435376573227807,0.003519004547528484,0.026707433950815693,-2.194086578626054,-2.176978588104248,8.996539831161499
-1.9435292477389545,0.003423682344589987,0.026693080515637957,-2.1941623881574333,-2.252046823501587,9.019431591033936
-1.9435032291742782,0.003479950626601995,0.026702863386866726,-2.194087517355009,-2.2098207473754883,9.048182964324951
-1.9435069130296065,0.0035056490445928,0.026679332569293307,-2.194058335515282,-2.115985631942749,9.059389114379883
-1.9434907962938086,0.0034660375653954288,0.026708830755794066,-2.1940904978835474,-2.2192044258117676,9.083491086959839
-1.9435501241897009,0.0034269154989648282,0.026710458134840555,-2.194186410388205,-2.162903308868408,9.12668776512146
-1.9435219260109649,0.003464307380145061,0.026685658776086234,-2.19411429397342,-2.2192044258117676,9.141189575195312
-1.943545112812178,0.0033982778839601194,0.026692638870600482,-2.194201730885828,-2.2192044258117676,9.168329238891602
-1.9434801918452205,0.003449994160817808,0.026691603743580927,-2.194088696781276,-2.2473549842834473,9.180244445800781
-1.9435328638207863,0.003475605996094315,0.026714089411689936,-2.19412502334942,-2.162903308868408,9.212413549423218
-1.9435913313082378,0.0034135431930426546,0.0267044995636845,-2.1942374554266393,-2.313039541244507,9.225735902786255
-1.943504542980483,0.0034698376785867427,0.026694248702220993,-2.194095113933882,-2.313039541244507,9.24070954322815
