dx1,dy1,dz1,dx2,dy2,dz2,azm1_cf,ele1_cf,azm2_cf,ele2_cf,azm1_an,ele1_an,azm2_an,ele2_an,tdoa_bias,time
-3.6221299508319467,-4.66651276994921,-1.9828526429743927,-2.1337991597620753,1.3013721730153653,-0.283060178027566,53.48710651885899,18.696890513810374,-31.014796375190087,9.319193519252051,111.02197425562488,-5.776745684576563,-130.18080458625036,74.13348020687,-0.07508121929132239,4.042637348175049
-3.6222331706780713,-4.666443017966803,-1.9828717701005314,-2.1339023796082,1.3014419249977724,-0.2830793051537047,53.694956993860075,18.484396623272726,-30.8091578522893,9.417561991189647,111.02215549142181,-5.777883377574478,-130.18143591989121,74.13350607525791,0.03763320619264654,4.079178810119629
-3.6221858820958213,-4.66645564883558,-1.9828874670077608,-2.1338550910259504,1.3014292941289956,-0.28309500206093413,53.61978074422321,18.796127377828565,-30.89371822265427,9.316189362589736,111.0223351250126,-5.777462568871804,-130.18350655056634,74.13343458417289,0.0376013566705935,4.104989290237427
-3.6222820723376796,-4.666501657507014,-1.9828692552415388,-2.1339512812678088,1.3013832854575615,-0.28307679029471217,53.591718073263806,18.990283597454095,-30.90412384112433,9.19203809137656,111.0219099930576,-5.777916015361031,-130.17709298564304,74.13225833576305,-0.17824873713533362,4.143425703048706
-3.6221984647362544,-4.666425734777505,-1.9828114504723182,-2.1338676736663835,1.3014592081870708,-0.2830189855254916,53.47948751310147,19.04853044481016,-30.983522909010716,9.06083903868717,111.02172484830533,-5.777742764267805,-130.17958291122233,74.13492899432067,-0.17816303485867646,4.15633225440979
-3.6221673888519668,-4.666545585392701,-1.9828586892389835,-2.1338365977820954,1.3013393575718752,-0.2830662242921569,53.357601752904976,18.91291779983409,-31.12563710687734,9.17918278152511,111.02188640897467,-5.776835531823064,-130.17849546239998,74.13259570668578,-0.17833281241907173,4.180120229721069
-3.6221931751679,-4.666541192385837,-1.982838076469585,-2.1338623840980286,1.3013437505787389,-0.2830456115227584,53.413732257636255,18.875536616019065,-31.07581743333702,9.213972590548929,111.02167665197223,-5.777054588334243,-130.17650369361675,74.13277373530438,-0.17831612410292141,4.2041261196136475
-3.6221318811357506,-4.666613966620279,-1.9828499034564924,-2.1338010900658793,1.3012709763442964,-0.2830574385096658,53.398400489044555,18.786360875422655,-31.103883622353006,9.288453885538782,111.02169340754001,-5.776198064626519,-130.17624410929858,74.13192654236614,-0.09397540044787389,4.244297742843628
-3.6222016288449774,-4.666531012423009,-1.9828396897220337,-2.1338708377751066,1.301353930541566,-0.2830472247752071,53.42839478726214,18.872523416331777,-31.070253996059037,9.243009031270054,111.02170311017966,-5.7771725841091035,-130.17674915324562,74.13284489587652,-0.09384963260724932,4.256742238998413
-3.6222368069948434,-4.666453433685572,-1.9828941404290534,-2.133906015924972,1.3014315092790043,-0.2831016754822268,53.50320830830983,19.033113261988746,-31.01080224918539,9.226189210334264,111.02231957506957,-5.777845669543856,-130.1822693555906,74.13298565495697,-0.09375320366176831,4.283876657485962
