dx1,dy1,dz1,dx2,dy2,dz2,azm1_cf,ele1_cf,azm2_cf,ele2_cf,azm1_an,ele1_an,azm2_an,ele2_an,tdoa_bias,time
-2.3105073500351003,3.6458945231272293,-0.12987109107866976,-3.8271935687030734,-2.5706395136981035,-2.792028962636018,-49.66409640678973,2.9221000840355424,42.75792743455034,33.400538147425976,-106.30130369188224,76.7754269662653,51.30532165321785,67.70946614403717,4.613865514238717,2.0434908866882324
-2.310324817039244,3.6457840092038967,-0.1297334845227322,-3.827011035707217,-2.570750027621436,-2.7918913560800807,-49.7836084180517,2.8212125868621927,42.592556354358564,33.6097568876352,-106.29536235223141,76.7771005204821,51.30800499708497,67.71140726698187,4.717131232348056,2.0801966190338135
-2.3104095642613665,3.6458899181372884,-0.12975147515736155,-3.8270957829293395,-2.5706441186880444,-2.79190934671471,-49.72438304559523,2.9247733904344586,42.71710032440917,33.58786022773356,-106.2959170265958,76.7768615121922,51.30537549397603,67.71036783918905,4.656021955057904,2.1046152114868164
-2.31030823866624,3.6456424366118036,-0.1297692670819645,-3.826994457334213,-2.570891600213529,-2.7919271386393127,-49.78387072085224,2.7710360885479606,42.56082367104958,33.63036564054646,-106.2966461483853,76.77617199402923,51.31058004480668,67.7123363574509,4.6610317304130415,2.1323680877685547
-2.310330839919147,3.6458618266910103,-0.12979927459343935,-3.82701705858712,-2.5706722101343225,-2.791957146150788,-49.9095728451069,2.7443753186838897,42.41709859136215,33.64585379700148,-106.29948228875537,76.77734833875131,51.30802527084019,67.71032222076228,4.651376776309029,2.1484780311584473
-2.3104286835343153,3.645869966595188,-0.1298027952888261,-3.8271149022022883,-2.5706640702301446,-2.7919606668461747,-49.81398050303023,2.757134499085688,42.519415812194254,33.64649162594469,-106.29839433487402,76.77633955308285,51.30606074319675,67.71017417441695,4.674843822483397,2.172227382659912
-2.3106168824113684,3.6460143451431852,-0.12979004773141595,-3.8273031010793415,-2.5705196916821476,-2.791947919288764,-49.602532984760565,2.7724019759263205,42.73114189214375,33.56557979183832,-106.29606979756764,76.77536065869447,51.30044734156481,67.70896562205425,4.660604507956668,2.212963342666626
-2.3104734060964356,3.6459340909951496,-0.12979216400617877,-3.8271596247644086,-2.570599945830183,-2.791950035563527,-49.570039597119774,2.7986287349117966,42.785753826895906,33.588971747950424,-106.29761564361934,76.77634027343404,51.30425213583157,67.70969381111404,4.641919341643887,2.2661843299865723
-2.3104482080648356,3.6457527775320915,-0.12973435409321132,-3.8271344267328087,-2.5707812592932413,-2.79189222565056,-49.67315648259136,2.9485705362967947,42.767077061106285,33.37486937678077,-106.29351379119163,76.77555248790854,51.30596036507153,67.71158480764184,4.642126281809146,2.2904727458953857
-2.310339286802446,3.645639217839467,-0.12971559666821825,-3.827025505470419,-2.570894818985866,-2.7918734682255666,-49.97101932406892,2.830571050690391,42.414404184092,33.64420123654366,-106.29319580530952,76.77600118794297,51.30914373462147,67.71270633041605,4.398276285233763,2.302875518798828
-2.3104418450039903,3.645859419723374,-0.12982872114164323,-3.8271280636719633,-2.5706746171019588,-2.7919865926989917,-49.68353411398138,2.7009531064772356,42.605949252420686,33.56593827927448,-106.29959467681404,76.77603491278431,51.306343519521526,67.71007811288851,4.707714870659213,2.3468124866485596
-2.3104074043749696,3.6457801471288485,-0.12973663131271468,-3.8270936230429426,-2.5707538896964843,-2.791894502870063,-49.76845380085966,2.8131362475594637,42.60266023888567,33.63421428332735,-106.29438242642473,76.77617386564903,51.306476358598594,67.7113691023683,4.670234648135126,2.3738481998443604
-2.3104161860745887,3.6458319583907217,-0.1297368648950772,-3.8271024047425617,-2.570702078434611,-2.791894736452426,-49.69319681171314,2.835287554898799,42.691615788826695,33.6241727339351,-106.2946214561801,76.77643832340516,51.30569506570281,67.71093760410453,4.6701678433434095,2.3862624168395996
-2.310377618316894,3.6459026207328624,-0.12981168558089698,-3.827063836984867,-2.5706314160924704,-2.7919695571382452,-49.80291168810746,2.874026222397895,42.60625252348854,33.60706145861119,-106.29980914991458,76.77708515202451,51.30682253014631,67.70987658832071,4.740480635440635,2.4131686687469482
-2.310327751041849,3.6459026620441732,-0.1297830754909973,-3.827013969709822,-2.5706313747811596,-2.791940947048346,-49.74189453305801,2.8500849197132836,42.64906562138466,33.563350822130104,-106.29889077230713,76.77772121474158,51.3073428681607,67.71009847402892,4.665389656433095,2.4257266521453857
-2.310462834679444,3.645904277914354,-0.12986993831372667,-3.827149053347417,-2.570629758910979,-2.792027809871075,-49.56150284730877,2.9657871318375837,42.89539223839549,33.46488330555461,-106.30191379138756,76.77597780463057,51.30606358436863,67.70942014265266,4.665453550045047,2.451031446456909
